¿En qué ciudad y fecha nació Manuel Belgrano?,Nació en Buenos Aires el 3 de junio de 1770.
¿En qué instituciones españolas Manuel Belgrano cursó sus estudios universitarios de leyes?,Estudió en las universidades de Salamanca y Valladolid.
"Durante su estancia en España, Belgrano recibió una autorización especial del Papa Pío VI para ____.",Leer literatura prohibida de los iluministas franceses.
"¿Qué teoría económica, que sostiene que la riqueza depende de la tierra, influyó profundamente en el pensamiento de Belgrano?",La fisiocracia.
¿Qué cargo asumió Belgrano en 1794 tras regresar de España a Buenos Aires?,Secretario del Real Consulado de Comercio.
"Como Secretario del Consulado, ¿qué dos instituciones educativas técnicas fundó Belgrano en 1799?",La Escuela de Dibujo y la Escuela de Náutica.
¿Cuál era la postura de Manuel Belgrano respecto a la educación de las mujeres en su época?,Defendía que las mujeres debían recibir la misma educación formal que los hombres.
¿Qué medio de comunicación fundó y dirigió Belgrano entre 1802 y 1807 para difundir ideas de desarrollo económico?,"El Semanario de Agricultura, Industria y Comercio."
¿En qué cuerpo militar se incorporó Belgrano durante las Invasiones Inglesas para defender Buenos Aires?,En el Cuerpo de Patricios.
¿Qué rol político desempeñó Belgrano en la Primera Junta de Gobierno surgida en mayo de 1810?,Fue nombrado vocal de la Junta.
Fecha exacta en la que Manuel Belgrano izó por primera vez la bandera argentina en Rosario:,El 27 de febrero de 1812.
"Según la teoría histórica más aceptada, ¿cuál fue el origen real de los colores celeste y blanco de la bandera?","Los colores de la Casa de Borbón, tomados de la escarapela."
¿Cómo era la disposición de las franjas en la primera bandera de 1812 según investigaciones recientes?,"Tenía solo dos franjas (una blanca y una celeste), no tres."
¿Qué orden dio el Primer Triunvirato respecto a la bandera recién creada por Belgrano en Rosario?,Ordenó que la guardara y la ocultara para evitar conflictos diplomáticos.
¿En qué consistió la estrategia de 'tierra arrasada' aplicada en el Éxodo Jujeño el 23 de agosto de 1812?,La población debió abandonar la ciudad y destruir todos los recursos para no dejar nada al enemigo.
¿Cuál fue el principal objetivo militar del Éxodo Jujeño?,Debilitar el avance de las tropas realistas y reorganizar al Ejército del Norte.
"¿Qué batalla, ocurrida el 24 de septiembre de 1812, frenó definitivamente el avance realista hacia el sur?",La Batalla de Tucumán.
¿Qué victoria decisiva de Belgrano en febrero de 1813 permitió recuperar el control del norte del territorio?,La Batalla de Salta.
